Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms)
yolov8s,1,1,yolov8s_config_default,1:CPU,16,Yes,6.7,171.3
yolov8s,1,2,yolov8s_config_default,1:CPU,16,Yes,6.6,464.2
yolov8s,1,4,yolov8s_config_default,1:CPU,16,Yes,6.1,995.1
yolov8s,1,8,yolov8s_config_default,1:CPU,16,Yes,5.8,1743.0
yolov8s,1,32,yolov8s_config_default,1:CPU,16,Yes,6.2,5200.5
yolov8s,1,1,yolov8s_config_11,1:CPU,1,Yes,6.7,193.0
yolov8s,1,2,yolov8s_config_11,1:CPU,1,Yes,5.9,480.3
yolov8s,1,4,yolov8s_config_11,1:CPU,1,Yes,6.6,757.5
yolov8s,1,8,yolov8s_config_11,1:CPU,1,Yes,6.6,1359.7
yolov8s,1,1,yolov8s_config_0,2:CPU,1,Yes,4.6,232.1
yolov8s,1,2,yolov8s_config_0,2:CPU,1,Yes,3.7,605.3
yolov8s,1,4,yolov8s_config_0,2:CPU,1,Yes,4.3,1209.9
yolov8s,1,8,yolov8s_config_0,2:CPU,1,Yes,3.8,2272.5
yolov8s,1,1,yolov8s_config_1,2:CPU,1,Yes,4.7,239.4
yolov8s,1,2,yolov8s_config_1,2:CPU,1,Yes,3.8,602.5
yolov8s,1,4,yolov8s_config_1,2:CPU,1,Yes,3.9,1229.2
yolov8s,1,8,yolov8s_config_1,2:CPU,1,Yes,3.9,2164.8
yolov8s,2,1,yolov8s_config_13,1:CPU,4,Yes,6.3,351.5
yolov8s,2,2,yolov8s_config_13,1:CPU,4,Yes,6.2,960.2
yolov8s,1,8,yolov8s_config_13,1:CPU,4,Yes,5.7,1534.7
yolov8s,2,4,yolov8s_config_13,1:CPU,4,Yes,5.7,1576.7
yolov8s,2,8,yolov8s_config_13,1:CPU,4,Yes,5.3,3356.0
yolov8s,1,1,yolov8s_config_6,2:CPU,16,Yes,4.2,263.6
yolov8s,1,2,yolov8s_config_6,2:CPU,16,Yes,3.6,692.6
yolov8s,1,4,yolov8s_config_6,2:CPU,16,Yes,3.7,1583.4
yolov8s,1,8,yolov8s_config_6,2:CPU,16,Yes,3.9,2963.7
yolov8s,1,64,yolov8s_config_6,2:CPU,16,Yes,4.9,14127.8
yolov8s,1,1,yolov8s_config_5,2:CPU,4,Yes,4.2,284.6
yolov8s,1,2,yolov8s_config_5,2:CPU,4,Yes,3.6,713.5
